10,,Player,The Human squadron Alpha was here before us and tried to assemble an EMP device to destroy the base. But the humans carrying the three parts of it were spotted by the Robots. They are now MIA
10,,NPC,"So if we find the 3 parts, we could destroy the Robot Base and Darwin and save the entire Human race from extinction."
10,,Player,"Exactly, Lets start by looking around this base. We should be stealthy to avoid being spotted by hostiles."
10,They move towards the base taking out any hostile robots on the way,Player,"Finally, we are all set to send Darwin back to Robot hell."
11,"Once they reach within the range of Darwin, He sees them. Darwins voice speaks out.",NPC,All right. Lets show him who is boss.
11,,Darwin,Whoever dares to challenge the intelligence of Darwin will suffer. Surrender before me and I will spare you life
11,,Bailey,"I am Bailey, leader of Squadron Beta. I have come to avenge the death of my fallen brothers and to put an end to your tyranny."
11,,Darwin,Fool! Darwin cannot be beaten by the likes of a puny human like you. 
11,,,You humans are idiots. We took advantage of your inferiority to build a separate network of cables. 
11,,Bailey,Separate network. And where would that be.
11,,Darwin,Do you not see the vast array of cables behind me. It is my creation and will keep us alive.
11,,Bailey,"Well then, Thanks for revealing the location of my target. Makes my job of blowing it up easier."
12,Final battle. Bailey has the option to kill all the robots or to plant the EMP device and flee,Darwin,What. Nooo. Robots. Get him!!
12,"Once he is out of the blast radius, He blows up the Base along with Darwin screaming.",Darwin,Nooo. My babies.. My precious babies.
12,,,Baiiiiiileey.. You have no idea what you have done. I will rise again. I will come back for you and hunt you down.
,,Bailey,(With a smirk) I am waiting!
,A cut scene could show a cinematic ending.,,
